Time	Light 
0	15	   
0.0167	15	   
0.0334	15	   
0.0501	15	   
0.0668	15	   
0.0835	1500	   
0.1002	1500	   
0.1169	1500	   
0.1336	1500	   
0.1503	1500	   
0.167	1500	   
0.1837	1500	   
0.2004	1500	   
0.2171	1500	   
0.2338	1500	   
0.2505	15	   
0.2672	15	   
0.2839	15	   
0.3006	15	   
0.3173	15	   
0.334	15	   
0.3507	15	   
0.3674	15	   
0.3841	15	   
0.4008	15	   
0.4175	15	   
0.4342	15	   
0.4509	15	   
0.4676	15	   
0.4843	15	   
0.501	15	   
0.5177	15	   
0.5344	15	   
0.5511	15	   
0.5678	15	   
0.5845	15	   
0.6012	15	   
0.6179	15	   
0.6346	15	   
0.6513	15	   
0.668	15	   
0.6847	15	   
0.7014	15	   
0.7181	15	   
0.7348	15	   
0.7515	1500	   
0.7682	1500	   
0.7849	1500	   
0.8016	1500	   
0.8183	1500	   
0.835	1500	   
0.8517	1500	   
0.8684	1500	   
0.8851	1500	   
0.9018	1500	   
0.9185	15	   
0.9352	15	   
0.9519	15	   
0.9686	15	   
0.9853	15	   
1.002	15	   
1.0187	15	   
1.0354	15	   
1.0521	15	   
1.0688	15	   
1.0855	15	   
1.1022	15	   
1.1189	15	   
1.1356	15	   
1.1523	15	   
1.169	15	   
1.1857	15	   
1.2024	15	   
1.2191	15	   
1.2358	15	   
1.2525	15	   
1.2692	15	   
1.2859	15	   
1.3026	15	   
1.3193	15	   
1.336	15	   
1.3527	15	   
1.3694	15	   
1.3861	15	   
1.4028	15	   
1.4195	1500	   
1.4362	1500	   
1.4529	1500	   
1.4696	1500	   
1.4863	1500	   
1.503	1500	   
1.5197	1500	   
1.5364	1500	   
1.5531	1500	   
1.5698	1500	   
1.5865	15	   
1.6032	15	   
1.6199	15	   
1.6366	15	   
1.6533	15	   
1.67	15	   
1.6867	15	   
1.7034	15	   
1.7201	15	   
1.7368	15	   
1.7535	15	   
1.7702	15	   
1.7869	15	   
1.8036	15	   
1.8203	15	   
1.837	15	   
1.8537	15	   
1.8704	15	   
1.8871	15	   
1.9038	15	   
1.9205	15	   
1.9372	15	   
1.9539	15	   
1.9706	15	   
1.9873	15	   
2.004	15	   
2.0207	15	   
2.0374	15	   
2.0541	15	   
2.0708	15	   
2.0875	1500	   
2.1042	1500	   
2.1209	1500	   
2.1376	1500	   
2.1543	1500	   
2.171	1500	   
2.1877	1500	   
2.2044	1500	   
2.2211	1500	   
2.2378	1500	   
2.2545	15	   
2.2712	15	   
2.2879	15	   
2.3046	15	   
2.3213	15	   
2.338	15	   
2.3547	15	   
2.3714	15	   
2.3881	15	   
2.4048	15	   
2.4215	15	   
2.4382	15	   
2.4549	15	   
2.4716	15	   
2.4883	15	   
2.505	15	   
2.5217	15	   
2.5384	15	   
2.5551	15	   
2.5718	15	   
2.5885	15	   
2.6052	15	   
2.6219	15	   
2.6386	15	   
2.6553	15	   
2.672	15	   
2.6887	15	   
2.7054	15	   
2.7221	15	   
2.7388	15	   
2.7555	1500	   
2.7722	1500	   
2.7889	1500	   
2.8056	1500	   
2.8223	1500	   
2.839	1500	   
2.8557	1500	   
2.8724	1500	   
2.8891	1500	   
2.9058	1500	   
2.9225	15	   
2.9392	15	   
2.9559	15	   
2.9726	15	   
2.9893	15	   
3.006	15	   
3.0227	15	   
3.0394	15	   
3.0561	15	   
3.0728	15	   
3.0895	15	   
3.1062	15	   
3.1229	15	   
3.1396	15	   
3.1563	15	   
3.173	15	   
3.1897	15	   
3.2064	15	   
3.2231	15	   
3.2398	15	   
3.2565	15	   
3.2732	15	   
3.2899	15	   
3.3066	15	   
3.3233	15	   
3.34	15	   
3.3567	15	   
3.3734	15	   
3.3901	15	   
3.4068	15	   
3.4235	1500	   
3.4402	1500	   
3.4569	1500	   
3.4736	1500	   
3.4903	1500	   
3.507	1500	   
3.5237	1500	   
3.5404	1500	   
3.5571	1500	   
3.5738	1500	   
3.5905	15	   
3.6072	15	   
3.6239	15	   
3.6406	15	   
3.6573	15	   
3.674	15	   
3.6907	15	   
3.7074	15	   
3.7241	15	   
3.7408	15	   
3.7575	15	   
3.7742	15	   
3.7909	15	   
3.8076	15	   
3.8243	15	   
3.841	15	   
3.8577	15	   
3.8744	15	   
3.8911	15	   
3.9078	15	   
3.9245	15	   
3.9412	15	   
3.9579	15	   
3.9746	15	   
3.9913	15	   
4.008	15	   
4.0247	15	   
4.0414	15	   
4.0581	15	   
4.0748	15	   
4.0915	1500	   
4.1082	1500	   
4.1249	1500	   
4.1416	1500	   
4.1583	1500	   
4.175	1500	   
4.1917	1500	   
4.2084	1500	   
4.2251	1500	   
4.2418	1500	   
4.2585	15	   
4.2752	15	   
4.2919	15	   
4.3086	15	   
4.3253	15	   
4.342	15	   
4.3587	15	   
4.3754	15	   
4.3921	15	   
4.4088	15	   
4.4255	15	    
4.4422	15	   
4.4589	15	   
4.4756	15	   
4.4923	15	   
4.509	15	   
4.5257	15	   
4.5424	15	   
4.5591	15	   
4.5758	15	   
4.5925	15	   
4.6092	15	   
4.6259	15	   
4.6426	15	   
4.6593	15	   
4.676	15	   
4.6927	15	   
4.7094	15	   
4.7261	15	   
4.7428	15	   
4.7595	1500	   
4.7762	1500	   
4.7929	1500	   
4.8096	1500	   
4.8263	1500	   
4.843	1500	   
4.8597	1500	   
4.8764	1500	   
4.8931	1500	   
4.9098	1500	   
4.9265	15	   
4.9432	15	   
4.9599	15	   
4.9766	15	   
4.9933	15	   
5.01	15	   
5.0267	15	   
5.0434	15	   
5.0601	15	   
5.0768	15	   
5.0935	15	   
5.1102	15	   
5.1269	15	   
5.1436	15	   
5.1603	15	   
5.177	15	   
5.1937	15	   
5.2104	15	   
5.2271	15	   
5.2438	15	   
5.2605	15	   
5.2772	15	   
5.2939	15	   
5.3106	15	   
5.3273	15	   
5.344	15	   
5.3607	15	   
5.3774	15	   
5.3941	15	   
5.4108	15	   
5.4275	1500	   
5.4442	1500	   
5.4609	1500	   
5.4776	1500	   
5.4943	1500	   
5.511	1500	   
5.5277	1500	   
5.5444	1500	   
5.5611	1500	   
5.5778	1500	   
5.5945	15	   
5.6112	15	   
5.6279	15	   
5.6446	15	   
5.6613	15	   
5.678	15	   
5.6947	15	   
5.7114	15	   
5.7281	15	   
5.7448	15	   
5.7615	15	   
5.7782	15	   
5.7949	15	   
5.8116	15	   
5.8283	15	   
5.845	15	   
5.8617	15	   
5.8784	15	   
5.8951	15	   
5.9118	15	   
5.9285	15	   
5.9452	15	   
5.9619	15	   
5.9786	15	   
5.9953	15	   
6.012	15	   
6.0287	15	   
6.0454	15	   
6.0621	15	   
6.0788	15	   
6.0955	1500	   
6.1122	1500	   
6.1289	1500	   
6.1456	1500	   
6.1623	1500	   
6.179	1500	   
6.1957	1500	   
6.2124	1500	   
6.2291	1500	   
6.2458	1500	   
6.2625	15	   
6.2792	15	   
6.2959	15	   
6.3126	15	   
6.3293	15	   
6.346	15	   
6.3627	15	   
6.3794	15	   
6.3961	15	   
6.4128	15	   
6.4295	15	   
6.4462	15	   
6.4629	15	   
6.4796	15	   
6.4963	15	   
6.513	15	   
6.5297	15	   
6.5464	15	   
6.5631	15	   
6.5798	15	   
6.5965	15	   
6.6132	15	   
6.6299	15	   
6.6466	15	   
6.6633	15	   
6.68	15	   
6.6967	15	   
6.7134	15	   
6.7301	15	   
6.7468	15	   
6.7635	1500	   
6.7802	1500	   
6.7969	1500	   
6.8136	1500	   
6.8303	1500	   
6.847	1500	   
6.8637	1500	   
6.8804	1500	   
6.8971	1500	   
6.9138	1500	   
6.9305	15	   
6.9472	15	   
6.9639	15	   
6.9806	15	   
6.9973	15	   
7.014	15	   
7.0307	15	   
7.0474	15	   
7.0641	15	   
7.0808	15	   
7.0975	15	   
7.1142	15	   
7.1309	15	   
7.1476	15	   
7.1643	15	   
7.181	15	   
7.1977	15	   
7.2144	15	   
7.2311	15	   
7.2478	15	   
7.2645	15	   
7.2812	15	   
7.2979	15	   
7.3146	15	   
7.3313	15	   
7.348	15	   
7.3647	15	   
7.3814	15	   
7.3981	15	   
7.4148	15	   
7.4315	1500	   
7.4482	1500	   
7.4649	1500	   
7.4816	1500	   
7.4983	1500	   
7.515	1500	   
7.5317	1500	   
7.5484	1500	   
7.5651	1500	   
7.5818	1500	   
7.5985	15	   
7.6152	15	   
7.6319	15	   
7.6486	15	   
7.6653	15	   
7.682	15	   
7.6987	15	   
7.7154	15	   
7.7321	15	   
7.7488	15	   
7.7655	15	   
7.7822	15	   
7.7989	15	   
7.8156	15	   
7.8323	15	   
7.849	15	   
7.8657	15	   
7.8824	15	   
7.8991	15	   
7.9158	15	   
7.9325	15	   
7.9492	15	   
7.9659	15	   
7.9826	15	   
7.9993	15	   
8.016	15	   
8.0327	15	   
8.0494	15	   
8.0661	15	   
8.0828	15	   
8.0995	1500	   
8.1162	1500	   
8.1329	1500	   
8.1496	1500	   
8.1663	1500	   
8.183	1500	   
8.1997	1500	   
8.2164	1500	   
8.2331	1500	   
8.2498	1500	   
8.2665	15	   
8.2832	15	   
8.2999	15	   
8.3166	15	   
8.3333	15	   
8.35	15	   
8.3667	15	   
8.3834	15	   
8.4001	15	   
8.4168	15	   
8.4335	15	   
8.4502	15	   
8.4669	15	   
8.4836	15	   
8.5003	15	   
8.517	15	   
8.5337	15	   
8.5504	15	   
8.5671	15	   
8.5838	15	   
8.6005	15	   
8.6172	15	   
8.6339	15	   
8.6506	15	   
8.6673	15	   
